"id","_kf_producao","datafusao","ordenacao","_kf_fichatecnica","caixa","_kf_macho","processo","recurso","areia","peso","qtd_machos","qtd_machos_por","figuras","qtd_replicas","qtd_op","qtd_realizada","qtd_pendente","qtd_moldes","tempo_ciclo","tempo_total","not_before_date","deadline","datahoraprocess","_kf_statusintegration","statusintegrationid","status_create_date","dt"
"28591","147075","2025-11-12","3","4805","7","2696","Pep Set","Carrossel","Silica","8","1","peça","1","1","8","0","8","8","1","10","2025-11-06","2025-11-10","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28592","147075","2025-11-12","3","4805","8","2697","Pep Set","Carrossel","Silica","8","1","peça","1","1","8","0","8","8","1","10","2025-11-06","2025-11-10","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28593","147075","2025-11-12","3","4805","9","2698","Pep Set","Carrossel","Silica","8","1","peça","1","1","8","0","8","8","1","10","2025-11-06","2025-11-10","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28594","147076","2025-11-13","2","4805","3","2692","Cold Box Soprado","Sopradora","Silica","3","1","peça","2","1","8","0","8","4","1","6","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28595","147076","2025-11-13","2","4805","4","2693","Cold Box Soprado","Sopradora","Silica","1","4","peça","4","1","8","0","32","8","1","11","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28596","147076","2025-11-13","2","4805","5","2694","Pep Set","Vibrado","Silica","77","1","peça","1","2","8","0","8","8","28","224","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28597","147076","2025-11-13","2","4805","6","2695","Pep Set","Carrossel","Silica","8","1","peça","1","1","8","0","8","8","1","10","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28598","147076","2025-11-13","2","4805","7","2696","Pep Set","Carrossel","Silica","8","1","peça","1","1","8","0","8","8","1","10","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28599","147076","2025-11-13","2","4805","8","2697","Pep Set","Carrossel","Silica","8","1","peça","1","1","8","0","8","8","1","10","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28600","147076","2025-11-13","2","4805","9","2698","Pep Set","Carrossel","Silica","8","1","peça","1","1","8","0","8","8","1","10","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28601","147076","2025-11-13","2","4805","20","2629","Cold Box Soprado","Sopradora","Silica","2","2","peça","3","1","8","0","12","4","1","6","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28602","147077","2025-11-13","8","4805","3","2692","Cold Box Soprado","Sopradora","Silica","3","1","peça","2","1","8","0","8","4","1","6","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28603","147077","2025-11-13","8","4805","4","2693","Cold Box Soprado","Sopradora","Silica","1","4","peça","4","1","8","0","32","8","1","11","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28604","147077","2025-11-13","8","4805","5","2694","Pep Set","Vibrado","Silica","77","1","peça","1","2","8","0","8","8","28","224","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28605","147077","2025-11-13","8","4805","6","2695","Pep Set","Carrossel","Silica","8","1","peça","1","1","8","0","8","8","1","10","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28606","147077","2025-11-13","8","4805","7","2696","Pep Set","Carrossel","Silica","8","1","peça","1","1","8","0","8","8","1","10","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28607","147077","2025-11-13","8","4805","8","2697","Pep Set","Carrossel","Silica","8","1","peça","1","1","8","0","8","8","1","10","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28608","147077","2025-11-13","8","4805","9","2698","Pep Set","Carrossel","Silica","8","1","peça","1","1","8","0","8","8","1","10","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28609","147077","2025-11-13","8","4805","20","2629","Cold Box Soprado","Sopradora","Silica","2","2","peça","3","1","8","0","12","4","1","6","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28610","147078","2025-11-14","3","4805","1","2690","Cold Box Gasado","Cold Box 4","Silica","3","2","peça","1","1","8","0","16","16","3","40","2025-11-10","2025-11-12","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28611","147078","2025-11-14","3","4805","2","2691","Cold Box Gasado","Cold Box 4","Silica","3","2","peça","1","1","8","0","16","16","3","40","2025-11-10","2025-11-12","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28612","147078","2025-11-14","3","4805","3","2692","Cold Box Soprado","Sopradora","Silica","3","1","peça","2","1","8","0","8","4","1","6","2025-11-10","2025-11-12","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28613","147078","2025-11-14","3","4805","4","2693","Cold Box Soprado","Sopradora","Silica","1","4","peça","4","1","8","0","32","8","1","11","2025-11-10","2025-11-12","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28614","147078","2025-11-14","3","4805","5","2694","Pep Set","Vibrado","Silica","77","1","peça","1","2","8","0","8","8","28","224","2025-11-10","2025-11-12","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28615","147078","2025-11-14","3","4805","6","2695","Pep Set","Carrossel","Silica","8","1","peça","1","1","8","0","8","8","1","10","2025-11-10","2025-11-12","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28616","147078","2025-11-14","3","4805","7","2696","Pep Set","Carrossel","Silica","8","1","peça","1","1","8","0","8","8","1","10","2025-11-10","2025-11-12","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28617","147078","2025-11-14","3","4805","8","2697","Pep Set","Carrossel","Silica","8","1","peça","1","1","8","0","8","8","1","10","2025-11-10","2025-11-12","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28618","147078","2025-11-14","3","4805","9","2698","Pep Set","Carrossel","Silica","8","1","peça","1","1","8","0","8","8","1","10","2025-11-10","2025-11-12","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28619","147078","2025-11-14","3","4805","20","2629","Cold Box Soprado","Sopradora","Silica","2","2","peça","3","1","8","0","12","4","1","6","2025-11-10","2025-11-12","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28620","147079","2025-11-14","6","4805","1","2690","Cold Box Gasado","Cold Box 4","Silica","3","2","peça","1","1","8","0","16","16","3","40","2025-11-10","2025-11-12","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
