OP,caixa,_kf_macho,maquina,fim,not_before_date,Deadline,config,tempo_processamento,inicio,status_integration_id,obs
146467,1.0,2690.0,coldboxgasado_coldbox4,2025-09-30 16:25:00,2025-09-30,2025-09-30,0,50,2025-09-30 15:35:00,15,
146467,2.0,2691.0,coldboxgasado_coldbox4,2025-09-30 15:35:00,2025-09-30,2025-09-30,0,50,2025-09-30 14:45:00,15,
146468,1.0,2690.0,coldboxgasado_coldbox4,2025-10-02 17:40:00,2025-10-02,2025-10-02,0,50,2025-10-02 16:50:00,15,
146468,2.0,2691.0,coldboxgasado_coldbox4,2025-10-02 16:00:00,2025-10-02,2025-10-02,0,50,2025-10-02 15:10:00,15,
146469,1.0,2690.0,coldboxgasado_coldbox4,2025-10-02 16:50:00,2025-10-02,2025-10-02,0,50,2025-10-02 16:00:00,15,
146469,2.0,2691.0,coldboxgasado_coldbox4,2025-10-02 19:15:00,2025-10-02,2025-10-02,0,95,2025-10-02 17:40:00,15,
146470,1.0,2690.0,coldboxgasado_coldbox4,2025-10-03 17:40:00,2025-10-03,2025-10-03,0,50,2025-10-03 16:50:00,15,
146470,2.0,2691.0,coldboxgasado_coldbox4,2025-10-03 16:50:00,2025-10-03,2025-10-03,0,50,2025-10-03 16:00:00,15,
146471,1.0,2690.0,coldboxgasado_coldbox4,2025-10-03 16:00:00,2025-10-03,2025-10-03,0,50,2025-10-03 15:10:00,15,
146471,2.0,2691.0,coldboxgasado_coldbox4,2025-10-03 19:15:00,2025-10-03,2025-10-03,0,95,2025-10-03 17:40:00,15,
146243,3.0,2514.0,coldboxsoprado_sopradora,2025-09-30 04:00:00,2025-09-30,2025-10-01,B,0,2025-09-30 04:00:00,15,
146136,1.0,2578.0,coldboxsoprado_sopradora,2025-09-30 04:50:00,2025-09-30,2025-10-01,B,40,2025-09-30 04:10:00,15,
146506,1.0,1755.0,coldboxsoprado_sopradora,2025-09-30 06:12:00,2025-09-30,2025-10-01,B,82,2025-09-30 04:50:00,15,
146373,4.0,386.0,coldboxsoprado_sopradora,2025-09-30 06:44:00,2025-09-30,2025-10-01,A,2,2025-09-30 06:42:00,15,
146374,4.0,386.0,coldboxsoprado_sopradora,2025-09-30 06:46:00,2025-09-30,2025-10-01,A,2,2025-09-30 06:44:00,15,
146375,4.0,386.0,coldboxsoprado_sopradora,2025-09-30 06:48:00,2025-09-30,2025-10-01,A,2,2025-09-30 06:46:00,15,
146376,4.0,386.0,coldboxsoprado_sopradora,2025-09-30 06:50:00,2025-09-30,2025-10-01,A,2,2025-09-30 06:48:00,15,
146411,4.0,385.0,coldboxsoprado_sopradora,2025-09-30 06:52:00,2025-09-30,2025-10-01,A,2,2025-09-30 06:50:00,15,
146412,4.0,385.0,coldboxsoprado_sopradora,2025-09-30 06:54:00,2025-09-30,2025-10-01,A,2,2025-09-30 06:52:00,15,
146413,4.0,385.0,coldboxsoprado_sopradora,2025-09-30 06:56:00,2025-09-30,2025-10-01,A,2,2025-09-30 06:54:00,15,
146414,4.0,385.0,coldboxsoprado_sopradora,2025-09-30 06:58:00,2025-09-30,2025-10-01,A,2,2025-09-30 06:56:00,15,
146373,20.0,2629.0,coldboxsoprado_sopradora,2025-09-30 07:10:00,2025-09-30,2025-10-01,A,2,2025-09-30 07:08:00,15,
146374,20.0,2629.0,coldboxsoprado_sopradora,2025-09-30 07:12:00,2025-09-30,2025-10-01,A,2,2025-09-30 07:10:00,15,
146375,20.0,2629.0,coldboxsoprado_sopradora,2025-09-30 07:14:00,2025-09-30,2025-10-01,A,2,2025-09-30 07:12:00,15,
146376,20.0,2629.0,coldboxsoprado_sopradora,2025-09-30 07:16:00,2025-09-30,2025-10-01,A,2,2025-09-30 07:14:00,15,
