id,_kf_producao,dataFusao,ordenacao,_kf_FichaTecnica,caixa,_kf_macho,processo,recurso,areia,peso,qtd_machos,qtd_machos_por,figuras,qtd_replicas,qtd_op,qtd_realizada,qtd_pendente,qtd_moldes,tempo_ciclo,Tempo Total (minutos),not_before_date,deadline,dataHoraProcess,_kf_statusIntegration,status_integration_id,status_create_date,dt,machine_name,lateness,obs
7844,146426,2025-10-08,6,4690,4,385,coldboxsoprado,sopradora,Silica,1,1,peça,4,1,8,0,8,2,1,3,2025-10-06,2025-10-06,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,coldboxsoprado_sopradora,0,"erro, not before date posterior a sexta feira, operação não será considerada."
7845,146426,2025-10-08,6,4690,20,2629,coldboxsoprado,sopradora,Silica,2,1,peça,3,1,8,0,6,2,1,3,2025-10-06,2025-10-06,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,coldboxsoprado_sopradora,0,"erro, not before date posterior a sexta feira, operação não será considerada."
7846,146427,2025-10-09,1,4690,1,113,coldboxgasado,coldbox4,Silica,21,1,peça,1,1,8,0,8,8,3,20,2025-10-07,2025-10-07,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,coldboxgasado_coldbox4,0,"erro, not before date posterior a sexta feira, operação não será considerada."
7847,146427,2025-10-09,1,4690,2,114,pepset,carrossel,Silica,3,1,peça,2,2,8,0,8,4,1,5,2025-10-07,2025-10-07,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,pepset_carrossel,0,"erro, not before date posterior a sexta feira, operação não será considerada."
7848,146427,2025-10-09,1,4690,3,98,coldboxgasado,coldboxpequena,Silica,3,1,peça,1,1,8,0,8,8,3,20,2025-10-07,2025-10-07,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,coldboxgasado_coldboxpequena,0,"erro, not before date posterior a sexta feira, operação não será considerada."
7849,146427,2025-10-09,1,4690,4,385,coldboxsoprado,sopradora,Silica,1,1,peça,4,1,8,0,8,2,1,3,2025-10-07,2025-10-07,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,coldboxsoprado_sopradora,0,"erro, not before date posterior a sexta feira, operação não será considerada."
7850,146427,2025-10-09,1,4690,20,2629,coldboxsoprado,sopradora,Silica,2,1,peça,3,1,8,0,6,2,1,3,2025-10-07,2025-10-07,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,coldboxsoprado_sopradora,0,"erro, not before date posterior a sexta feira, operação não será considerada."
7851,146428,2025-10-09,8,4690,1,113,coldboxgasado,coldbox4,Silica,21,1,peça,1,1,8,0,8,8,3,20,2025-10-07,2025-10-07,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,coldboxgasado_coldbox4,0,"erro, not before date posterior a sexta feira, operação não será considerada."
7852,146428,2025-10-09,8,4690,2,114,pepset,carrossel,Silica,3,1,peça,2,2,8,0,8,4,1,5,2025-10-07,2025-10-07,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,pepset_carrossel,0,"erro, not before date posterior a sexta feira, operação não será considerada."
7853,146428,2025-10-09,8,4690,3,98,coldboxgasado,coldboxpequena,Silica,3,1,peça,1,1,8,0,8,8,3,20,2025-10-07,2025-10-07,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,coldboxgasado_coldboxpequena,0,"erro, not before date posterior a sexta feira, operação não será considerada."
