OP,caixa,_kf_macho,maquina,fim,not_before_date,Deadline,config,tempo_processamento,inicio,status_integration_id
146460,20.0,2629.0,coldboxsoprado_sopradora,2025-09-26 04:30:00,2025-09-26,2025-09-27,A,4,2025-09-26 04:26:00,13
146461,20.0,2629.0,coldboxsoprado_sopradora,2025-09-26 04:34:00,2025-09-26,2025-09-27,A,4,2025-09-26 04:30:00,13
145489,20.0,2629.0,coldboxsoprado_sopradora,2025-09-26 04:40:00,2025-09-26,2025-09-27,A,6,2025-09-26 04:34:00,13
145945,20.0,2629.0,coldboxsoprado_sopradora,2025-09-26 04:48:00,2025-09-26,2025-09-27,A,8,2025-09-26 04:40:00,13
146035,20.0,2629.0,coldboxsoprado_sopradora,2025-09-26 04:56:00,2025-09-26,2025-09-27,A,8,2025-09-26 04:48:00,13
145945,6.0,840.0,coldboxsoprado_sopradora,2025-09-26 05:10:00,2025-09-26,2025-09-27,A,4,2025-09-26 05:06:00,13
146035,6.0,840.0,coldboxsoprado_sopradora,2025-09-26 05:14:00,2025-09-26,2025-09-27,A,4,2025-09-26 05:10:00,13
145945,7.0,841.0,coldboxsoprado_sopradora,2025-09-26 05:28:00,2025-09-26,2025-09-27,A,4,2025-09-26 05:24:00,13
146035,7.0,841.0,coldboxsoprado_sopradora,2025-09-26 05:32:00,2025-09-26,2025-09-27,A,4,2025-09-26 05:28:00,13
146460,3.0,2692.0,coldboxsoprado_sopradora,2025-09-26 05:46:00,2025-09-26,2025-09-27,A,4,2025-09-26 05:42:00,13
146461,3.0,2692.0,coldboxsoprado_sopradora,2025-09-26 05:50:00,2025-09-26,2025-09-27,A,4,2025-09-26 05:46:00,13
146128,1.0,2612.0,coldboxsoprado_sopradora,2025-09-26 06:08:00,2025-09-26,2025-09-27,A,8,2025-09-26 06:00:00,13
146128,2.0,2574.0,coldboxsoprado_sopradora,2025-09-26 06:16:00,2025-09-26,2025-09-27,A,8,2025-09-26 06:08:00,13
146460,4.0,2693.0,coldboxsoprado_sopradora,2025-09-26 06:34:00,2025-09-26,2025-09-27,A,8,2025-09-26 06:26:00,13
146461,4.0,2693.0,coldboxsoprado_sopradora,2025-09-26 06:52:00,2025-09-26,2025-09-27,A,18,2025-09-26 06:34:00,13
